run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
109,0.591,0.5881389157671016,0.544,0.5348819621508519,0.534,0.5253064268790448
169,0.588,0.5845655049459397,0.546,0.5355988560213912,0.53,0.5251907946256645
163,0.595,0.5921107387695206,0.584,0.5781489089813975,0.592,0.5864221974469133
136,0.591,0.5890832263815264,0.561,0.5461105403296392,0.556,0.5478308241466135
142,0.578,0.5756724247858597,0.551,0.5446032867425551,0.566,0.560885827979134
102,0.579,0.5747341804169769,0.543,0.5334331821254558,0.556,0.5499686211695926
147,0.574,0.5670901175161217,0.554,0.5466164976477018,0.563,0.5570121568014833
204,0.578,0.5759051811702589,0.539,0.5310222278796478,0.538,0.5334736540378032
162,0.574,0.5710894124618061,0.528,0.5179176727472893,0.554,0.5451449226734062
158,0.595,0.5872215685135148,0.559,0.5480087685023934,0.574,0.5669090933517525
159,0.599,0.5957725300623437,0.58,0.5697550103474658,0.552,0.5394789017237036
51,0.592,0.584320661942641,0.567,0.5592446094688247,0.556,0.5506553097445951
189,0.588,0.5880510421748394,0.548,0.5404489868878385,0.573,0.5622786535738731
187,0.559,0.5532680156571609,0.556,0.546942672559403,0.559,0.551864155557553
178,0.592,0.5857668517230847,0.548,0.5413703921911236,0.55,0.5467825981121467
150,0.557,0.558362060148838,0.516,0.516157572984952,0.551,0.5423168149436509
185,0.579,0.5752364374767284,0.539,0.5275209020217507,0.561,0.5509765670017045
139,0.58,0.5781359545088282,0.559,0.5513533114317721,0.546,0.5377653628279025
196,0.592,0.5850661348896155,0.544,0.5329010774849428,0.532,0.525731349663174
173,0.619,0.6176140638284355,0.569,0.5638184823363835,0.588,0.578874357987314
133,0.585,0.5832845186819343,0.579,0.5683632623138511,0.564,0.5504465733487365
210,0.632,0.6278825544236563,0.573,0.5658313006496242,0.579,0.5703102385496099
166,0.58,0.5731140395864457,0.538,0.5281473263507133,0.561,0.5533391641231823
243,0.589,0.5776090975917674,0.554,0.5349722674137035,0.52,0.5113552665585073
198,0.603,0.60357388113492,0.54,0.5347546625036329,0.567,0.5564490898260499
160,0.57,0.5654589704734353,0.569,0.5584929577889196,0.548,0.5403940578799787
171,0.572,0.5626078352425353,0.546,0.5315789872248263,0.545,0.5423063193740248
182,0.6,0.5966167441753276,0.548,0.5377476138898055,0.586,0.578718350628274
154,0.587,0.5835935784956227,0.544,0.5359504961752802,0.542,0.5378064679292219
230,0.551,0.539726217780668,0.552,0.535699531949532,0.537,0.5299215665681875
183,0.59,0.5914474961459949,0.525,0.516617463011134,0.57,0.5600667103921716
194,0.598,0.5970933830036381,0.55,0.5397388171519653,0.561,0.5501574971534917
188,0.597,0.5896973783191327,0.534,0.5202149165529503,0.537,0.5339854002041964
