run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
118,0.6085,0.6066785420521023,0.5515,0.539743383727486,0.551,0.5406451593569668
119,0.6115,0.6079955622037267,0.568,0.562371003463137,0.5795,0.5693191786555228
120,0.5995,0.598798155677632,0.552,0.5436728593662251,0.5645,0.555969830075997
121,0.619,0.614417954416466,0.5605,0.5499277899833734,0.5585,0.553336048845271
122,0.596,0.5930371162419071,0.547,0.5325827135096014,0.551,0.538510468751214
123,0.5995,0.59510823101806,0.5505,0.5414362384610896,0.5385,0.5306278728305903
124,0.583,0.5806475748891843,0.5225,0.5091794963319761,0.5315,0.520051935620696
125,0.589,0.5854999758895637,0.5395,0.5297897820168608,0.552,0.5414999883281769
126,0.616,0.6134232372263279,0.551,0.5438219340980683,0.567,0.5574287913455097
127,0.6005,0.5989610908197877,0.552,0.541085267462504,0.5645,0.554469947018584
128,0.6155,0.6123231413796937,0.568,0.5593288954552783,0.574,0.5651273225741114
129,0.593,0.5907428608820992,0.55,0.5426309384572964,0.5505,0.5433248077761496
130,0.6085,0.6082766853466857,0.5635,0.5574845410420898,0.562,0.5504882382721706
131,0.61,0.6080241086966245,0.5605,0.5475531454599328,0.582,0.5676316036626158
132,0.5935,0.5895567079511456,0.556,0.5447302066181157,0.5435,0.5387505807060243
133,0.601,0.5994264284322209,0.5525,0.5421639179842415,0.573,0.5653018199382748
134,0.603,0.5992066268933308,0.5515,0.5372225489039528,0.5595,0.5514362414427787
135,0.603,0.6010959798166087,0.55,0.5375878945496502,0.5595,0.5452845244402874
136,0.5925,0.5895617411992912,0.5625,0.5487424502165373,0.5455,0.537324126957179
137,0.582,0.5762058488985008,0.545,0.5329681086023758,0.534,0.5255263994525693
138,0.597,0.5907705886438752,0.553,0.5404454720214613,0.546,0.5375339004662831
139,0.5865,0.5821401886933693,0.561,0.5541869913210052,0.5475,0.5373412015367395
140,0.614,0.6136145272656136,0.5465,0.5338054359485457,0.5575,0.5455003550241645
141,0.5825,0.5809176574645801,0.5415,0.5327396033917773,0.551,0.541698752367374
142,0.6095,0.608200277549834,0.5395,0.5285713722066036,0.554,0.5427830904560719
143,0.613,0.6116156278408358,0.5355,0.5237886096874607,0.5585,0.547360341866967
144,0.6005,0.5966100738649223,0.5545,0.5432170222677125,0.558,0.5481468831125232
145,0.5915,0.584525443777851,0.548,0.5373218063992828,0.5575,0.5458585219140483
146,0.588,0.5848454414328904,0.538,0.5276948130217461,0.5445,0.540116388691537
147,0.5955,0.5938228407205489,0.55,0.5415455330953204,0.542,0.531388764883125
148,0.614,0.6083822824263894,0.5725,0.56149145362236,0.5415,0.5338745330266587
149,0.585,0.5841567728472128,0.55,0.5450789022271098,0.5645,0.5557074806247386
150,0.5965,0.5955043502393648,0.54,0.5324376272396808,0.5645,0.5550932014300154
151,0.6095,0.6069248513839169,0.54,0.5228281692195679,0.565,0.5557169954642092
152,0.5885,0.586514248663479,0.546,0.537954200173825,0.5675,0.5589243686577517
153,0.601,0.598727772701338,0.56,0.5539246886775736,0.5695,0.5626654670469947
154,0.608,0.6061708690557639,0.525,0.5159133025269805,0.57,0.5630165478646433
155,0.5835,0.5796510969473413,0.5405,0.5255304652942923,0.5505,0.5414573063017336
156,0.625,0.6225303861489312,0.557,0.5484757583270635,0.5575,0.5457520631162901
157,0.6115,0.6115394877873165,0.543,0.5352266490670824,0.5585,0.5470819518669262
158,0.608,0.6007013940827483,0.5525,0.5355636452636442,0.5455,0.5373705582739126
159,0.6085,0.6066751828905561,0.5605,0.5485201963395403,0.548,0.5340436124375222
160,0.59,0.584620398874999,0.564,0.5480807711477672,0.562,0.5492663993793069
161,0.617,0.6138337938268962,0.554,0.5399681690158165,0.5565,0.5463143260885784
162,0.605,0.6031546107758171,0.5535,0.5446773641495095,0.5655,0.5554173142277841
163,0.6095,0.6096095498999113,0.561,0.5524546559285145,0.564,0.5534011839660212
164,0.5985,0.5985408423391999,0.5605,0.5540306254194424,0.5725,0.5638440386184477
165,0.612,0.6079473876114725,0.5665,0.5588324494547511,0.574,0.567517733408996
166,0.585,0.5832978065462606,0.5355,0.5224234123776661,0.5495,0.5368651127018875
167,0.5875,0.5858902073198468,0.5525,0.5415259333794685,0.5655,0.5572813381618508
168,0.605,0.6033249088676074,0.5455,0.5391049029183267,0.558,0.5470700403630785
169,0.6155,0.6106086358485493,0.557,0.5461313071346309,0.556,0.5475973699674296
170,0.5985,0.5972504656509148,0.5465,0.5395048194448324,0.578,0.5682432453466185
171,0.5895,0.5885787061358331,0.5325,0.5249489838089215,0.548,0.5429181956645918
172,0.595,0.5949592798137872,0.5395,0.5337797737085506,0.5635,0.5525381571887517
173,0.6105,0.6042568028816292,0.5475,0.5394148664510734,0.5465,0.5403863112196445
174,0.6075,0.6081413287078121,0.547,0.5385318765437886,0.562,0.5518599941283865
175,0.6135,0.6080317945951236,0.565,0.5534626240362062,0.555,0.5432346670547717
176,0.605,0.6053942867367552,0.554,0.5460839932072198,0.577,0.5635365310634554
177,0.6035,0.6003615002247068,0.549,0.5398421881738912,0.5595,0.5489189372219817
178,0.5975,0.5934415408901842,0.534,0.523999986783935,0.543,0.5341553701879427
179,0.591,0.5881842137215082,0.5635,0.5569470866473542,0.5615,0.551517125632578
180,0.611,0.6089128049044401,0.549,0.5386036546459615,0.568,0.5603363420133768
181,0.6265,0.6274380799300491,0.56,0.5534718210892574,0.5875,0.5742002824338429
182,0.6,0.5980586323908127,0.543,0.5321437025706278,0.5695,0.5583902811014027
183,0.602,0.5993578378615387,0.536,0.5268928555468245,0.567,0.5556976693653773
184,0.608,0.6031095175196608,0.548,0.5370030069549481,0.548,0.541787669560733
185,0.584,0.5807175193970618,0.555,0.543177888343127,0.547,0.534056757039178
186,0.589,0.5830182084440723,0.534,0.5195125410656501,0.5345,0.5252571057340915
187,0.6035,0.5997879912584431,0.5495,0.5392375776017393,0.542,0.5358272705383215
188,0.621,0.6184699816974922,0.5485,0.535486350040958,0.5675,0.5602935823767208
189,0.587,0.5814007148019378,0.5545,0.5439633883608002,0.544,0.5354050027286207
190,0.6025,0.6000745942775102,0.546,0.533111340555483,0.5415,0.5310701070130709
191,0.6025,0.5977429189324417,0.5545,0.5446837041916845,0.549,0.5427853697586389
192,0.604,0.6015110242083609,0.54,0.5336603958969629,0.5625,0.5534978649100967
193,0.612,0.6091832249533521,0.556,0.549103497565885,0.56,0.5522591413075527
194,0.606,0.599497541090879,0.554,0.5388220173622033,0.5665,0.557041259704434
195,0.609,0.6048260262751136,0.5625,0.5468153911153587,0.5705,0.5626962664652794
196,0.6095,0.609581625476781,0.5485,0.540065181789465,0.5745,0.5642490554002948
197,0.595,0.5926102774966663,0.5625,0.5502778687779292,0.559,0.5498235058359846
198,0.5955,0.5907144359265616,0.5495,0.5394561167424582,0.5645,0.5586162613024336
199,0.604,0.6002260104813532,0.552,0.5432226050690908,0.566,0.5565934900055458
200,0.6025,0.6015337572577211,0.5595,0.5499301652188723,0.572,0.5631544555780545
201,0.5925,0.5921249524012254,0.555,0.5488168960318679,0.5575,0.5522359275594824
202,0.596,0.5880434706615021,0.551,0.5424029095659125,0.565,0.5570776409889057
203,0.6045,0.6006891773075178,0.5595,0.5524588925194461,0.564,0.5553645219404745
